k,inercia,reduccion_inercia,reduccion_porcentual,silhouette_score
2,4974.433682106995,,,0.09859835855332516
3,4615.081176089315,359.35250601767984,7.22,0.08229411072584869
4,4422.22614850761,192.85502758170514,4.18,0.07231361015780652
5,4261.723426024281,160.5027224833284,3.63,0.07103574275730423
6,4139.848591534572,121.87483448970943,2.86,0.06533879952013548
7,4029.712251348713,110.1363401858589,2.66,0.0662065115394945
8,3939.3284658672205,90.3837854814924,2.24,0.06609463323440677
9,3852.5983377396246,86.73012812759589,2.2,0.06495951902475879
10,3784.102060506999,68.49627723262574,1.78,0.06370998777326088
